TOKYO,36,140
OSAKA,35,135
NAGOYA,35,137
SHANGHAI,31,122
LONG_BEACH,34,-119
SEATTLE,48,-123
HONGKONG,22,114
BUSAN,35,129
TIANJIN,39,118
NEWCASTLE,-33,152
SINGAPORE,1,103
FREMANTLE,-32,115
THURSDAY_ISLAND,-11,142
SAN_FRANCISCO,38,-122
VANCOUVER,50,-125
